"","postcode","lat","lon","suburb","state"
"75",1043,-33.794883,151.268071,"SYDNEY","NSW"
"76",1044,-33.794883,151.268071,"SYDNEY","NSW"
"77",1045,-33.794883,151.268071,"SYDNEY","NSW"
"78",1046,-33.794883,151.268071,"SYDNEY","NSW"
"79",1100,-33.794883,151.268071,"SYDNEY","NSW"
"80",1101,-33.794883,151.268071,"SYDNEY","NSW"
"81",1105,-33.794883,151.268071,"SYDNEY","NSW"
"82",1106,-33.794883,151.268071,"SYDNEY","NSW"
"83",1107,-33.794883,151.268071,"SYDNEY","NSW"
"84",1108,-33.794883,151.268071,"SYDNEY","NSW"
"85",1109,-33.794883,151.268071,"SYDNEY","NSW"
"86",1110,-33.794883,151.268071,"SYDNEY","NSW"
"87",1112,-33.794883,151.268071,"SYDNEY","NSW"
"88",1113,-33.794883,151.268071,"SYDNEY","NSW"
"89",1114,-33.794883,151.268071,"SYDNEY","NSW"
"90",1115,-33.794883,151.268071,"SYDNEY","NSW"
"91",1116,-33.666729,150.866145,"SYDNEY","NSW"
"92",1117,-33.664575,150.87022,"SYDNEY","NSW"
"93",1118,-33.794883,151.268071,"SYDNEY","NSW"
"94",1119,-33.794883,151.268071,"SYDNEY","NSW"
"95",1120,-33.794883,151.268071,"SYDNEY","NSW"
"96",1121,-33.794883,151.268071,"SYDNEY","NSW"
"97",1122,-33.794883,151.268071,"SYDNEY","NSW"
"98",1123,-33.794883,151.268071,"SYDNEY","NSW"
"99",1124,-33.794883,151.268071,"SYDNEY","NSW"
"100",1125,-33.794883,151.268071,"SYDNEY","NSW"
"101",1126,-33.794883,151.268071,"SYDNEY","NSW"
"102",1127,-33.794883,151.268071,"SYDNEY","NSW"
"103",1128,-33.794883,151.268071,"SYDNEY","NSW"
"104",1129,-33.794883,151.268071,"SYDNEY","NSW"
"105",1130,-33.794883,151.268071,"SYDNEY","NSW"
"106",1131,-33.794883,151.268071,"SYDNEY","NSW"
"107",1132,-33.66279,150.874265,"SYDNEY","NSW"
"108",1133,-33.794883,151.268071,"SYDNEY","NSW"
"109",1134,-33.794883,151.268071,"SYDNEY","NSW"
"110",1135,-33.794883,151.268071,"SYDNEY","NSW"
"111",1136,-33.794883,151.268071,"SYDNEY","NSW"
"112",1137,-33.794883,151.268071,"SYDNEY","NSW"
"113",1138,-33.794883,151.268071,"SYDNEY","NSW"
"114",1139,-33.794883,151.268071,"SYDNEY","NSW"
"115",1140,-33.794883,151.268071,"SYDNEY","NSW"
"116",1141,-33.794883,151.268071,"SYDNEY","NSW"
"117",1142,-33.794883,151.268071,"SYDNEY","NSW"
"118",1143,-33.794883,151.268071,"SYDNEY","NSW"
"119",1144,-33.794883,151.268071,"SYDNEY","NSW"
"120",1145,-33.794883,151.268071,"SYDNEY","NSW"
"121",1146,-33.794883,151.268071,"SYDNEY","NSW"
"122",1147,-33.794883,151.268071,"SYDNEY","NSW"
"123",1148,-33.794883,151.268071,"SYDNEY","NSW"
"124",1149,-33.794883,151.268071,"SYDNEY","NSW"
"125",1150,-33.794883,151.268071,"SYDNEY","NSW"
"126",1151,-33.794883,151.268071,"SYDNEY","NSW"
"127",1152,-33.794883,151.268071,"SYDNEY","NSW"
"128",1153,-33.794883,151.268071,"SYDNEY","NSW"
"129",1154,-33.794883,151.268071,"SYDNEY","NSW"
"130",1155,-33.794883,151.268071,"SYDNEY","NSW"
"131",1156,-33.794883,151.268071,"SYDNEY","NSW"
"132",1157,-33.794883,151.268071,"SYDNEY","NSW"
"133",1158,-33.794883,151.268071,"SYDNEY","NSW"
"134",1159,-33.794883,151.268071,"SYDNEY","NSW"
"135",1160,-33.794883,151.268071,"SYDNEY","NSW"
"136",1161,-33.794883,151.268071,"SYDNEY","NSW"
"137",1162,-33.794883,151.268071,"SYDNEY","NSW"
"138",1163,-33.794883,151.268071,"SYDNEY","NSW"
"139",1164,-33.794883,151.268071,"SYDNEY","NSW"
"140",1165,-33.794883,151.268071,"SYDNEY","NSW"
"141",1166,-33.794883,151.268071,"SYDNEY","NSW"
"142",1167,-33.794883,151.268071,"SYDNEY","NSW"
"143",1168,-33.794883,151.268071,"SYDNEY","NSW"
"144",1169,-33.794883,151.268071,"SYDNEY","NSW"
"145",1170,-33.794883,151.268071,"SYDNEY","NSW"
"146",1171,-33.794883,151.268071,"SYDNEY","NSW"
"147",1172,-33.794883,151.268071,"SYDNEY","NSW"
"148",1173,-33.794883,151.268071,"SYDNEY","NSW"
"149",1174,-33.794883,151.268071,"SYDNEY","NSW"
"150",1175,-33.794883,151.268071,"SYDNEY","NSW"
"151",1176,-33.794883,151.268071,"SYDNEY","NSW"
"152",1177,-33.794883,151.268071,"SYDNEY","NSW"
"153",1178,-33.794883,151.268071,"SYDNEY","NSW"
"154",1179,-33.794883,151.268071,"SYDNEY","NSW"
"155",1180,-33.794883,151.268071,"SYDNEY","NSW"
"156",1181,-33.794883,151.268071,"SYDNEY","NSW"
"157",1182,-33.794883,151.268071,"SYDNEY","NSW"
"158",1183,-33.794883,151.268071,"SYDNEY","NSW"
"159",1184,-33.794883,151.268071,"SYDNEY","NSW"
"160",1185,-33.794883,151.268071,"SYDNEY","NSW"
"161",1186,-33.794883,151.268071,"SYDNEY","NSW"
"162",1187,-33.794883,151.268071,"SYDNEY","NSW"
"163",1188,-33.794883,151.268071,"SYDNEY","NSW"
"164",1189,-33.794883,151.268071,"SYDNEY","NSW"
"165",1190,-33.794883,151.268071,"SYDNEY","NSW"
"166",1191,-33.794883,151.268071,"SYDNEY","NSW"
"167",1192,-34.790684,147.685283,"SYDNEY","NSW"
"168",1193,-33.794883,151.268071,"SYDNEY","NSW"
"169",1194,-33.794883,151.268071,"SYDNEY","NSW"
"170",1195,-33.794883,151.268071,"SYDNEY","NSW"
"171",1196,-33.794883,151.268071,"SYDNEY","NSW"
"172",1197,-33.794883,151.268071,"SYDNEY","NSW"
"173",1198,-33.794883,151.268071,"SYDNEY","NSW"
"174",1199,-33.794883,151.268071,"SYDNEY","NSW"
"175",1200,-33.794883,151.268071,"SYDNEY","NSW"
"176",1201,-33.794883,151.268071,"SYDNEY","NSW"
"177",1202,-33.794883,151.268071,"SYDNEY","NSW"
"178",1203,-33.794883,151.268071,"SYDNEY","NSW"
"179",1204,-33.794883,151.268071,"SYDNEY","NSW"
"180",1205,-33.794883,151.268071,"SYDNEY","NSW"
"181",1206,-33.794883,151.268071,"SYDNEY","NSW"
"182",1207,-33.794883,151.268071,"SYDNEY","NSW"
"183",1208,-29.816475,151.659454,"HAYMARKET","NSW"
"184",1209,-33.891788,151.176251,"AUSTRALIA SQUARE","NSW"
"185",1210,-33.891788,151.176251,"AUSTRALIA SQUARE","NSW"
"186",1211,-33.891788,151.176251,"AUSTRALIA SQUARE","NSW"
"187",1212,-33.891788,151.176251,"AUSTRALIA SQUARE","NSW"
"188",1213,-33.891788,151.176251,"AUSTRALIA SQUARE","NSW"
"189",1214,-33.891788,151.176251,"AUSTRALIA SQUARE","NSW"
"190",1215,-33.891788,151.176251,"AUSTRALIA SQUARE","NSW"
"191",1216,-33.741311,151.034025,"GROSVENOR PLACE","NSW"
"192",1217,-33.741311,151.034025,"GROSVENOR PLACE","NSW"
"193",1218,-33.741311,151.034025,"GROSVENOR PLACE","NSW"
"194",1219,-33.741311,151.034025,"GROSVENOR PLACE","NSW"
"195",1220,-33.741311,151.034025,"GROSVENOR PLACE","NSW"
"196",1221,-33.86533,151.207905,"ROYAL EXCHANGE","NSW"
"197",1222,-33.86533,151.207905,"ROYAL EXCHANGE","NSW"
"198",1223,-33.86533,151.207905,"ROYAL EXCHANGE","NSW"
"199",1224,-33.86533,151.207905,"ROYAL EXCHANGE","NSW"
"200",1225,-33.86533,151.207905,"ROYAL EXCHANGE","NSW"
"201",1226,-33.871749,151.206708,"QUEEN VICTORIA BUILDING","NSW"
"202",1227,-33.871749,151.206708,"QUEEN VICTORIA BUILDING","NSW"
"203",1228,-33.871749,151.206708,"QUEEN VICTORIA BUILDING","NSW"
"204",1229,-33.871749,151.206708,"QUEEN VICTORIA BUILDING","NSW"
"205",1230,-33.871749,151.206708,"QUEEN VICTORIA BUILDING","NSW"
"206",1231,-33.815551,151.042528,"SYDNEY SOUTH","NSW"
"207",1232,-33.815551,151.042528,"SYDNEY SOUTH","NSW"
"208",1233,-33.815551,151.042528,"SYDNEY SOUTH","NSW"
"209",1234,-33.815551,151.042528,"SYDNEY SOUTH","NSW"
"210",1235,-33.815551,151.042528,"SYDNEY SOUTH","NSW"
"211",1236,-29.816475,151.659454,"HAYMARKET","NSW"
"212",1237,-29.816475,151.659454,"HAYMARKET","NSW"
"213",1238,-29.816475,151.659454,"HAYMARKET","NSW"
"214",1239,-29.816475,151.659454,"HAYMARKET","NSW"
"215",1240,-29.816475,151.659454,"HAYMARKET","NSW"
"216",1291,-33.794883,151.268071,"SYDNEY","NSW"
"217",1292,-33.794883,151.268071,"SYDNEY","NSW"
"218",1293,-33.794883,151.268071,"SYDNEY","NSW"
"219",1294,-33.794883,151.268071,"SYDNEY","NSW"
"220",1295,-33.794883,151.268071,"SYDNEY","NSW"
"221",1296,-33.794883,151.268071,"SYDNEY","NSW"
"222",1297,-33.794883,151.268071,"SYDNEY","NSW"
"223",1298,-33.794883,151.268071,"SYDNEY","NSW"
"224",1299,-33.794883,151.268071,"SYDNEY","NSW"
"225",1300,-33.877331,151.220876,"DARLINGHURST","NSW"
"226",1335,-33.82269,151.117575,"POTTS POINT","NSW"
"227",1340,-35.537721,148.021014,"KINGS CROSS","NSW"
"228",1355,-33.893739,151.262502,"BONDI JUNCTION","NSW"
"229",1360,-33.87584,151.241938,"DOUBLE BAY","NSW"
"230",1401,-33.884217,151.199825,"BROADWAY","NSW"
"231",1420,-33.726098,150.931838,"STRAWBERRY HILLS","NSW"
"232",1422,-33.726098,150.931838,"STRAWBERRY HILLS","NSW"
"233",1423,-33.726098,150.931838,"STRAWBERRY HILLS","NSW"
"234",1424,-33.726098,150.931838,"STRAWBERRY HILLS","NSW"
"235",1425,-33.726098,150.931838,"STRAWBERRY HILLS","NSW"
"236",1426,-33.726098,150.931838,"STRAWBERRY HILLS","NSW"
"237",1427,-33.726098,150.931838,"STRAWBERRY HILLS","NSW"
"238",1428,-33.726098,150.931838,"STRAWBERRY HILLS","NSW"
"239",1429,-33.726098,150.931838,"STRAWBERRY HILLS","NSW"
"240",1430,-33.890232,151.199489,"EVELEIGH","NSW"
"241",1435,-33.711785,151.108248,"ALEXANDRIA","NSW"
"242",1440,-33.902836,151.057914,"WATERLOO","NSW"
"243",1441,-33.902836,151.057914,"WATERLOO","NSW"
"244",1445,-34.083089,151.007691,"ROSEBERY","NSW"
"245",1450,-30.305815,153.13679,"CAMPERDOWN","NSW"
"246",1455,-33.947087,151.197644,"BOTANY","NSW"
"247",1460,-33.926669,151.210791,"MASCOT","NSW"
"248",1465,-33.888549,151.140735,"KENSINGTON","NSW"
"249",1466,-33.906561,151.234417,"UNSW SYDNEY","NSW"
"250",1470,-33.842999,151.151958,"DRUMMOYNE","NSW"
"251",1475,-33.90911,151.15334,"MARRICKVILLE","NSW"
"252",1476,-33.90911,151.15334,"MARRICKVILLE","NSW"
"253",1480,-33.935923,151.100027,"KINGSGROVE","NSW"
"254",1490,-34.035878,151.107201,"MIRANDA","NSW"
"255",1493,-33.975869,151.088939,"HURSTVILLE","NSW"
"256",1495,-34.046927,151.123943,"CARINGBAH","NSW"
"257",1499,-34.015705,151.0622,"SUTHERLAND","NSW"
"258",1515,-33.824607,151.207261,"WEST CHATSWOOD","NSW"
"259",1565,-33.865367,151.193071,"MILSONS POINT","NSW"
"260",1570,-33.808087,151.192733,"ARTARMON","NSW"
"261",1582,-33.83459,151.20085,"CROWS NEST","NSW"
"262",1585,-33.83459,151.20085,"CROWS NEST","NSW"
"263",1590,-33.292001,151.468652,"ST LEONARDS","NSW"
"264",1595,-33.791875,151.187955,"LANE COVE","NSW"
"265",1597,-33.791875,151.187955,"LANE COVE","NSW"
"266",1630,-33.707684,151.099812,"HORNSBY","NSW"
"267",1639,-33.793137,151.246751,"FRENCHS FOREST","NSW"
"268",1640,-33.793137,151.246751,"FRENCHS FOREST","NSW"
"269",1655,-33.329799,151.505125,"MANLY","NSW"
"270",1658,-33.698773,151.216799,"MONA VALE","NSW"
"271",1660,-33.698773,151.216799,"MONA VALE","NSW"
"272",1675,-33.833033,151.139681,"GLADESVILLE","NSW"
"273",1680,-33.761498,151.137807,"RYDE","NSW"
"274",1685,-33.80406,151.09064,"WEST RYDE","NSW"
"275",1700,-33.950299,151.206982,"ERMINGTON","NSW"
"276",1710,-33.78417,151.116696,"EPPING","NSW"
"277",1712,-33.78417,151.116696,"EPPING","NSW"
"278",1715,-33.758433,151.049106,"PENNANT HILLS","NSW"
"279",1730,-33.760263,150.966912,"SEVEN HILLS","NSW"
"280",1740,-33.886166,151.139472,"PARRAMATTA","NSW"
"281",1741,-33.886166,151.139472,"PARRAMATTA","NSW"
"282",1750,-33.857053,151.023102,"NORTH PARRAMATTA","NSW"
"283",1755,-33.767239,150.968177,"BAULKHAM HILLS","NSW"
"284",1765,-33.735906,151.030535,"CASTLE HILL","NSW"
"285",1771,-33.758433,151.049106,"PENNANT HILLS","NSW"
"286",1790,-33.859047,151.19554,"ST MARYS","NSW"
"287",1800,-34.096505,150.778939,"ASHFIELD","NSW"
"288",1805,-33.891556,151.10082,"BURWOOD","NSW"
"289",1811,-33.82328,151.051375,"SILVERWATER","NSW"
"290",1816,-33.877139,151.093326,"STRATHFIELD","NSW"
"291",1819,-33.877139,151.093326,"STRATHFIELD","NSW"
"292",1830,-33.859289,150.948582,"GRANVILLE","NSW"
"293",1831,-33.859289,150.948582,"GRANVILLE","NSW"
"294",1835,-33.883928,151.023796,"AUBURN","NSW"
"295",1848,-33.850193,150.966745,"GUILDFORD","NSW"
"296",1860,-33.850457,150.961124,"FAIRFIELD","NSW"
"297",1871,-33.888327,151.103632,"LIVERPOOL","NSW"
"298",1875,-33.954639,150.92236,"MOOREBANK","NSW"
"299",1885,-33.907417,151.024581,"BANKSTOWN","NSW"
"300",1888,-33.907417,151.024581,"BANKSTOWN","NSW"
"301",1890,-33.960035,150.802088,"INGLEBURN","NSW"
"302",1891,-33.932221,151.000183,"MILPERRA","NSW"
"303",2000,-33.8665757142857,151.207029285714,"DAWES POINT,
HAYMARKET,
MILLERS POINT,
PARLIAMENT HOUSE,
SYDNEY,
SYDNEY SOUTH,
THE ROCKS","NSW"
"304",2001,-33.794883,151.268071,"SYDNEY","NSW"
"305",2002,-35.974434,146.40506,"WORLD SQUARE","NSW"
"306",2006,-33.887926,151.186923,"THE UNIVERSITY OF SYDNEY","NSW"
"307",2007,-33.881391,151.196887,"BROADWAY,
ULTIMO","NSW"
"308",2008,-33.889096,151.196479,"CHIPPENDALE,
DARLINGTON","NSW"
"309",2009,-33.869709,151.19393,"PYRMONT","NSW"
"310",2010,-33.884323,151.216444,"DARLINGHURST,
SURRY HILLS","NSW"
"311",2011,-33.8709168,151.2252854,"ELIZABETH BAY,
HMAS KUTTABUL,
POTTS POINT,
RUSHCUTTERS BAY,
WOOLLOOMOOLOO","NSW"
"312",2012,-33.726098,150.931838,"STRAWBERRY HILLS","NSW"
"313",2013,-33.726098,150.931838,"STRAWBERRY HILLS","NSW"
"314",2015,-33.9020863333333,151.196195666667,"ALEXANDRIA,
BEACONSFIELD,
EVELEIGH","NSW"
